trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
71,False,"{'a': 0.01, 'e': 0.7583618759905082}",20,10,-41.80856580711688,"{0: 4, 1: 3, 2: 3, 3: 0, 4: 0}",1
72,False,"{'a': 0.01, 'e': 0.751805729140895}",20,0,-76.14530025930792,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
73,False,"{'a': 0.01, 'e': 0.7451744023448704}",25,0,-94.84261055674901,"{0: 14, 1: 3, 2: 6, 3: 2, 4: 0}",0
74,False,"{'a': 0.01, 'e': 0.7384685587295879}",25,0,-74.56175026329821,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 0}",0
75,False,"{'a': 0.01, 'e': 0.7316888688738209}",20,0,-156.9806888265389,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
76,False,"{'a': 0.01, 'e': 0.7248360107409052}",30,0,-72.73947514895578,"{0: 22, 1: 3, 2: 3, 3: 1, 4: 1}",0
77,False,"{'a': 0.01, 'e': 0.7179106696109433}",25,0,-38.36321790438925,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
78,False,"{'a': 0.01, 'e': 0.7109135380122773}",20,0,-137.25679250417525,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
79,False,"{'a': 0.01, 'e': 0.7038453156522361}",30,0,-121.42225331874405,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 2}",0
80,False,"{'a': 0.01, 'e': 0.6967067093471654}",20,0,-19.32331109430993,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
81,False,"{'a': 0.01, 'e': 0.689498432951747}",20,0,-128.50070945643463,"{0: 10, 1: 5, 2: 3, 3: 0, 4: 2}",0
82,False,"{'a': 0.01, 'e': 0.6822212072876135}",20,0,-64.29807970623548,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
83,False,"{'a': 0.01, 'e': 0.674875760071267}",20,0,-43.633264150829994,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
84,False,"{'a': 0.01, 'e': 0.6674628258413081}",20,8,-25.30642474496901,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 0}",1
85,False,"{'a': 0.01, 'e': 0.6599831458849822}",25,0,-34.20779586597658,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
86,False,"{'a': 0.01, 'e': 0.6524374681640519}",20,0,-17.83995509301357,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
87,False,"{'a': 0.01, 'e': 0.6448265472400012}",20,11,-10.15221823057652,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
88,False,"{'a': 0.01, 'e': 0.6371511441985802}",20,0,-91.04930488569381,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
89,False,"{'a': 0.01, 'e': 0.6294120265736969}",25,7,-36.37414882947747,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
90,False,"{'a': 0.01, 'e': 0.6216099682706644}",20,0,9.536271461907099,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
91,False,"{'a': 0.01, 'e': 0.6137457494888116}",20,0,0.9781969923048573,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
92,False,"{'a': 0.01, 'e': 0.6058201566434628}",20,0,-97.28426524875731,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
93,False,"{'a': 0.01, 'e': 0.5978339822872982}",25,13,-29.873778277838934,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
94,False,"{'a': 0.01, 'e': 0.5897880250310982}",20,0,-203.87993219132417,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 4}",0
95,False,"{'a': 0.01, 'e': 0.5816830894638835}",25,18,-2.2874321754488736,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
96,False,"{'a': 0.01, 'e': 0.5735199860724567}",20,0,-135.11552292886475,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",1
97,False,"{'a': 0.01, 'e': 0.5652995311603544}",20,0,-93.34116809108346,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",1
98,False,"{'a': 0.01, 'e': 0.5570225467662173}",25,16,-11.080951702774758,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
99,False,"{'a': 0.01, 'e': 0.5486898605815875}",20,0,-52.526678952325966,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
100,False,"{'a': 0.01, 'e': 0.5403023058681398}",25,0,-35.54302114976431,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
101,False,"{'a': 0.01, 'e': 0.5318607213743555}",25,7,-25.95244129886879,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 0}",1
102,False,"{'a': 0.01, 'e': 0.5233659512516495}",25,3,-47.201184440988364,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 1}",1
